read_position	deletion_count
0	0
1	0
2	3827
3	2441
4	1380
5	795
6	613
7	658
8	514
9	553
10	460
11	547
12	516
13	574
14	587
15	580
16	604
17	650
18	690
19	662
20	675
21	672
22	724
23	695
24	696
25	654
26	723
27	838
28	888
29	1103
30	1141
31	1306
32	1465
33	1609
34	1583
35	1669
36	1889
37	1885
38	1955
39	2113
40	2081
41	2288
42	2371
43	2439
44	2448
45	2601
46	2915
47	2942
48	3113
49	3181
50	3208
51	3215
52	3229
53	3341
54	3156
55	3107
56	2990
57	2795
58	2766
59	2628
60	2542
61	2452
62	2381
63	2665
64	2478
65	2436
66	2437
67	2396
68	2444
69	2287
70	2452
71	2328
72	2394
73	2297
74	2342
75	2398
76	2336
77	2399
78	2507
79	2539
80	2544
81	2484
82	2505
83	2584
84	2561
85	2723
86	2783
87	2788
88	2815
89	2853
90	3063
91	2979
92	3277
93	3363
94	3551
95	3932
96	4007
97	4252
98	4179
99	4356
100	4355
101	3845
102	3700
103	3528
104	3077
105	3138
106	2781
107	2623
108	2479
109	2291
110	2003
111	2021
112	1791
113	1736
114	1718
115	1707
116	1682
117	1493
118	1384
119	1272
120	1108
121	933
122	901
123	864
124	694
125	665
126	617
127	634
128	603
129	621
130	616
131	591
132	608
133	605
134	576
135	557
136	533
137	504
138	490
139	478
140	457
141	470
142	474
143	498
144	522
145	518
146	0
147	0
148	0
149	0
