Samples	Groups
WT_CC_4	WTCC
WT_CC_5	WTCC
WT_EV_2	WTEV
WT_EV_3	WTEV
WT_EV_37	WTEV
WT_RE_50	WTRE
WT_RE_51	WTRE
WT_RE_52	WTRE
N1_CC_13	N1CC
N1_EV_10	N1EV
N1_EV_12	N1EV
N1_EV_40	N1EV
N1_RE_16	N1RE
N1_RE_42	N1RE
N1_RE_53	N1RE
N2_CC_22	N2CC
N2_EV_20	N2EV
N2_EV_21	N2EV
N2_EV_43	N2EV
WT_S7_1	WTS7
WT_S7_2	WTS7
WT_S7_3	WTS7
WT_Sm_30	WTSm
WT_Sm_46	WTSm
N2_S7_11	N2S7
N2_S7_12	N2S7
N2_S7_13	N2S7
N2_S7_14	N2S7
WT_S1_6	WTS1
WT_S1_7	WTS1
WT_S1_8	WTS1
WT_S1_9	WTS1
N2_S1_16	N2S1
N2_S1_17	N2S1
N2_S1_18	N2S1
N2_S1_19	N2S1
